latitude,longtitude,time
55.749104,38.013901,13510000
55.749092,38.013905,13510500
55.749081,38.013905,13511000
55.749077,38.013901,13511500
55.749065,38.013905,13512000
55.749058,38.013905,13512500
55.749043,38.013901,13513000
55.749054,38.013882,13513500
55.749023,38.013889,13514000
55.749016,38.013870,13514500
55.749023,38.013855,13515000
55.749020,38.013847,13515500
55.749031,38.013817,13520000
55.749031,38.013798,13520500
55.749016,38.013794,13521000
55.748993,38.013805,13521500
55.748978,38.013828,13522000
55.748974,38.013847,13522500
55.748974,38.013859,13523000
55.748951,38.013905,13523500
55.748940,38.013908,13524000
55.748932,38.013939,13524600
55.748909,38.013988,13525100
55.748901,38.014015,13525600
55.748905,38.014011,13530100
55.748875,38.014011,13530600
55.748859,38.014023,13531100
55.748844,38.014038,13531600
55.748844,38.014023,13532100
55.748840,38.014042,13532600
55.748795,38.014076,13533100
55.748764,38.014084,13533600
55.748753,38.014076,13534100
55.748745,38.014080,13534600
55.748737,38.014069,13535100
55.748718,38.014065,13535600
55.748722,38.014061,13540100
55.748730,38.014088,13540600
55.748734,38.014076,13541100
55.748753,38.014095,13541600
55.748745,38.014103,13542100
55.748745,38.014111,13542600
55.748756,38.014103,13543100
55.748749,38.014111,13543600
55.748737,38.014126,13544100
55.748734,38.014126,13544600
55.748741,38.014126,13545100
55.748737,38.014114,13545600
55.748741,38.014118,13550100
55.748783,38.014099,13550700
55.748817,38.014095,13551200
55.748871,38.014107,13551700
55.748909,38.014107,13552200
55.748962,38.014099,13552700
55.748974,38.014099,13553200
55.748989,38.014099,13553700
55.748989,38.014107,13554200
55.749008,38.014111,13554700
55.749043,38.014103,13555200
55.749058,38.014099,13555700
55.749096,38.014095,13560200
55.749084,38.014095,13560700
55.749104,38.014084,13561200
55.749092,38.014076,13561700
55.749092,38.014069,13562200
55.749069,38.014069,13562700
55.749043,38.014072,13563200
55.748970,38.014084,13563700
55.748943,38.014088,13564200
55.748940,38.014091,13564700
55.748940,38.014091,13565200
55.748936,38.014103,13565700
55.748917,38.014099,13570200
55.748909,38.014084,13570700
55.748943,38.014038,13571200
55.748962,38.013973,13571700
55.748955,38.013950,13572300
55.748936,38.013950,13572800
55.748981,38.013927,13573300
55.748894,38.013924,13573800
